Rotation: -0.2148395601924067, Roll: 2.1162315928909816, Pitch: 9.605064290809215, Yaw: -34.57627504257269, Timestamp: 1754491030408
Rotation: -0.2035677176479651, Roll: 2.0688782558361756, Pitch: 9.919823557370634, Yaw: -34.37986995039131, Timestamp: 1754491030399
Rotation: -0.19381314163368124, Roll: 2.0309274482862296, Pitch: 10.234819448384144, Yaw: -34.1860378903405, Timestamp: 1754491030389
Rotation: -0.18510859845192273, Roll: 1.9971712384981684, Pitch: 10.54288932846463, Yaw: -33.99626711615377, Timestamp: 1754491030379
Rotation: -0.17731702720131137, Roll: 1.965670873277235, Pitch: 10.835982920239244, Yaw: -33.80935248328424, Timestamp: 1754491030369
Rotation: -0.1701645910619951, Roll: 1.9325893488896064, Pitch: 11.104071544963476, Yaw: -33.62319227628857, Timestamp: 1754491030359
Rotation: -0.16324234088394496, Roll: 1.893281770641049, Pitch: 11.342169434289838, Yaw: -33.43858201372107, Timestamp: 1754491030349
Rotation: -0.15688219130944603, Roll: 1.851953860940669, Pitch: 11.546794469823215, Yaw: -33.255141668266546, Timestamp: 1754491030339
Rotation: -0.15205522694368678, Roll: 1.8215443532271915, Pitch: 11.718827176321799, Yaw: -33.07097455695246, Timestamp: 1754491030329
Rotation: -0.14912947661921194, Roll: 1.8079841007289084, Pitch: 11.859269421863386, Yaw: -32.88971116267057, Timestamp: 1754491030319
Rotation: -0.14788088559785573, Roll: 1.810000246673575, Pitch: 11.970925591587955, Yaw: -32.71759345470931, Timestamp: 1754491030309
Rotation: -0.14801715153201433, Roll: 1.8257576982664978, Pitch: 12.061116601893868, Yaw: -32.55772130175632, Timestamp: 1754491030299
Rotation: -0.1492313795930098, Roll: 1.8535229035555532, Pitch: 12.14093592866341, Yaw: -32.4096662016145, Timestamp: 1754491030289
Rotation: -0.1509959731667747, Roll: 1.8882996023186258, Pitch: 12.219497521087225, Yaw: -32.275635752640554, Timestamp: 1754491030279
Rotation: -0.15321141982985598, Roll: 1.9297121214522153, Pitch: 12.301456015700275, Yaw: -32.15607551632775, Timestamp: 1754491030269
Rotation: -0.15609325822803521, Roll: 1.9801021019656115, Pitch: 12.383196712666976, Yaw: -32.05232143515375, Timestamp: 1754491030259
Rotation: -0.1602514206141521, Roll: 2.045957120312539, Pitch: 12.455036595252906, Yaw: -31.9641874511521, Timestamp: 1754491030249
Rotation: -0.1662779893531634, Roll: 2.1336131636549402, Pitch: 12.507644248035037, Yaw: -31.89091401491286, Timestamp: 1754491030239
Rotation: -0.17396036953718363, Roll: 2.2393283825033174, Pitch: 12.53536627512582, Yaw: -31.833218490923112, Timestamp: 1754491030229
Rotation: -0.18225202246850447, Roll: 2.3488797522153257, Pitch: 12.537487004883136, Yaw: -31.79334180217263, Timestamp: 1754491030219
Rotation: -0.1898612819980432, Roll: 2.4456599883302523, Pitch: 12.519171234392461, Yaw: -31.772371412689026, Timestamp: 1754491030209
Rotation: -0.19602291534450522, Roll: 2.5205448278427225, Pitch: 12.487644375377142, Yaw: -31.77099694945624, Timestamp: 1754491030199
Rotation: -0.20022508984009013, Roll: 2.5672979385453845, Pitch: 12.44647130705423, Yaw: -31.78432016260266, Timestamp: 1754491030189
Rotation: -0.20179118780521277, Roll: 2.5778210993603397, Pitch: 12.399317474247061, Yaw: -31.804756661772103, Timestamp: 1754491030179
Rotation: -0.20077955313982532, Roll: 2.5541313604285043, Pitch: 12.350600172243364, Yaw: -31.82051567991454, Timestamp: 1754491030169
Rotation: -0.1984341998868402, Roll: 2.514415284714146, Pitch: 12.30764900190961, Yaw: -31.824243603687496, Timestamp: 1754491030159
Rotation: -0.1954292724073441, Roll: 2.469415418327346, Pitch: 12.279200602897326, Yaw: -31.813879636305774, Timestamp: 1754491030149
Rotation: -0.19205569549416923, Roll: 2.4248723095232525, Pitch: 12.275213865912015, Yaw: -31.787600669904325, Timestamp: 1754491030139
Rotation: -0.18880627300063324, Roll: 2.3886086125471215, Pitch: 12.304105961337486, Yaw: -31.742426133041615, Timestamp: 1754491030129
Rotation: -0.18590141044913233, Roll: 2.3645882567740557, Pitch: 12.373149008040631, Yaw: -31.676094581497132, Timestamp: 1754491030119
Rotation: -0.1830452312134736, Roll: 2.349710122979697, Pitch: 12.487950002535838, Yaw: -31.586520443637824, Timestamp: 1754491030109
Rotation: -0.18015508706943528, Roll: 2.343579784373508, Pitch: 12.654205565582332, Yaw: -31.477245811868535, Timestamp: 1754491030098
Rotation: -0.17714382686310337, Roll: 2.344943479744353, Pitch: 12.873977595121826, Yaw: -31.35554563030635, Timestamp: 1754491030088
Rotation: -0.17364926131892755, Roll: 2.3476881262127245, Pitch: 13.144252487720646, Yaw: -31.230821145265015, Timestamp: 1754491030079
Rotation: -0.1692127234446712, Roll: 2.3425348102198993, Pitch: 13.454632257569584, Yaw: -31.112111842000225, Timestamp: 1754491030069
Rotation: -0.16415669779224507, Roll: 2.329787979432113, Pitch: 13.788382288591976, Yaw: -31.001275842651125, Timestamp: 1754491030059
Rotation: -0.15889507311918516, Roll: 2.3126797653307283, Pitch: 14.13427133189771, Yaw: -30.89383612351069, Timestamp: 1754491030049
Rotation: -0.1533282211654199, Roll: 2.287531656002425, Pitch: 14.481678653235528, Yaw: -30.786196671873714, Timestamp: 1754491030039
Rotation: -0.14719173339561253, Roll: 2.249341104447082, Pitch: 14.827190641721396, Yaw: -30.676249501406332, Timestamp: 1754491030029
Rotation: -0.14065170327616539, Roll: 2.200583574512596, Pitch: 15.17352627382044, Yaw: -30.562176756013038, Timestamp: 1754491030019
Rotation: -0.13383911457216735, Roll: 2.1448951268200385, Pitch: 15.534230382155656, Yaw: -30.444033358721768, Timestamp: 1754491030009
Rotation: -0.12666788059949496, Roll: 2.0829119054905028, Pitch: 15.928770442938834, Yaw: -30.326683318701775, Timestamp: 1754491029999
