Rotation: -6.2608186620444055, Roll: -0.6553597653872715, Pitch: 27.080584787666893, Yaw: -14.198048770492308, Timestamp: 1754490888825
Rotation: -6.260645945481135, Roll: -0.6607951290098857, Pitch: 27.09369038712706, Yaw: -14.208183781036215, Timestamp: 1754490888815
Rotation: -6.260585484167251, Roll: -0.6628156989874572, Pitch: 27.102360979979252, Yaw: -14.216498455290214, Timestamp: 1754490888805
Rotation: -6.260610796761252, Roll: -0.6622312415632466, Pitch: 27.10791408518646, Yaw: -14.220827697307437, Timestamp: 1754490888795
Rotation: -6.260588572092504, Roll: -0.6629649886220053, Pitch: 27.11077145849073, Yaw: -14.220157252262613, Timestamp: 1754490888785
Rotation: -6.260460613876209, Roll: -0.6667596459420364, Pitch: 27.112131475299, Yaw: -14.214602581818868, Timestamp: 1754490888776
Rotation: -6.260188458491531, Roll: -0.6748153744437518, Pitch: 27.114450598623, Yaw: -14.206779725123084, Timestamp: 1754490888765
Rotation: -6.259760433767628, Roll: -0.6875547909150118, Pitch: 27.12034536135045, Yaw: -14.198193966283599, Timestamp: 1754490888755
Rotation: -6.259326630290742, Roll: -0.7006778095765072, Pitch: 27.133118658622944, Yaw: -14.187576537165507, Timestamp: 1754490888745
Rotation: -6.258992168192719, Roll: -0.711113493160664, Pitch: 27.153044799798153, Yaw: -14.177082387129927, Timestamp: 1754490888735
Rotation: -6.258801812782467, Roll: -0.7174526752179203, Pitch: 27.177111908745882, Yaw: -14.169547377975064, Timestamp: 1754490888726
Rotation: -6.258822623087424, Roll: -0.7175969101015132, Pitch: 27.20168283352796, Yaw: -14.165610167995402, Timestamp: 1754490888715
Rotation: -6.259046594682115, Roll: -0.711646704857209, Pitch: 27.222964822526766, Yaw: -14.165282318464172, Timestamp: 1754490888705
Rotation: -6.259304141179353, Roll: -0.7045903083072447, Pitch: 27.240829908873124, Yaw: -14.168457452265907, Timestamp: 1754490888695
Rotation: -6.259415498771185, Roll: -0.701783159601663, Pitch: 27.25677812066354, Yaw: -14.175007953959957, Timestamp: 1754490888685
Rotation: -6.259299874665244, Roll: -0.7057585647360008, Pitch: 27.275306144564656, Yaw: -14.18363695050927, Timestamp: 1754490888675
Rotation: -6.259024468555813, Roll: -0.7146257842510068, Pitch: 27.29903299666902, Yaw: -14.193544044102108, Timestamp: 1754490888665
Rotation: -6.258746637155511, Roll: -0.7237698700778161, Pitch: 27.32883231480679, Yaw: -14.20082984157496, Timestamp: 1754490888655
Rotation: -6.258629078261755, Roll: -0.7283364191526249, Pitch: 27.36363093295686, Yaw: -14.205286827049646, Timestamp: 1754490888645
Rotation: -6.258732870038463, Roll: -0.7263070581764265, Pitch: 27.39749586292876, Yaw: -14.20866741140788, Timestamp: 1754490888635
Rotation: -6.258863110218046, Roll: -0.7233572595136907, Pitch: 27.427309349012777, Yaw: -14.21140693933825, Timestamp: 1754490888625
Rotation: -6.2589199222652985, Roll: -0.7224379219224716, Pitch: 27.452331624544165, Yaw: -14.21283544109629, Timestamp: 1754490888615
Rotation: -6.258992562747492, Roll: -0.7209270136193172, Pitch: 27.473566481372956, Yaw: -14.2125054088319, Timestamp: 1754490888605
Rotation: -6.259042697115007, Roll: -0.7200513753945531, Pitch: 27.493738464316046, Yaw: -14.208656914492051, Timestamp: 1754490888595
Rotation: -6.259075070414372, Roll: -0.7196866703584537, Pitch: 27.513353167051903, Yaw: -14.201358083838658, Timestamp: 1754490888585
Rotation: -6.259098107584732, Roll: -0.7196073469342668, Pitch: 27.533220790808457, Yaw: -14.194720982876598, Timestamp: 1754490888576
Rotation: -6.259062024204513, Roll: -0.7213548757837426, Pitch: 27.555017672713266, Yaw: -14.190985333639667, Timestamp: 1754490888565
Rotation: -6.2590080442189535, Roll: -0.7237057400992561, Pitch: 27.578934409270946, Yaw: -14.188640148185, Timestamp: 1754490888555
Rotation: -6.259101719612243, Roll: -0.7217103057809876, Pitch: 27.60533789584954, Yaw: -14.187484097801555, Timestamp: 1754490888545
Rotation: -6.259324868614427, Roll: -0.7157800318963482, Pitch: 27.630330433104817, Yaw: -14.189754717568224, Timestamp: 1754490888535
Rotation: -6.259505636618002, Roll: -0.7110227746828666, Pitch: 27.652456555926985, Yaw: -14.19260410456472, Timestamp: 1754490888526
Rotation: -6.259666472201571, Roll: -0.7068727510959513, Pitch: 27.675177179465955, Yaw: -14.195913367687327, Timestamp: 1754490888516
Rotation: -6.2598141544527355, Roll: -0.7031518792297788, Pitch: 27.69931380173757, Yaw: -14.198514840774187, Timestamp: 1754490888506
Rotation: -6.2599248739574165, Roll: -0.700609612961713, Pitch: 27.725935918031798, Yaw: -14.199788076218095, Timestamp: 1754490888495
Rotation: -6.259998136929443, Roll: -0.6991865075150773, Pitch: 27.75243083117563, Yaw: -14.200000700920134, Timestamp: 1754490888486
Rotation: -6.260023315887915, Roll: -0.6991354926483719, Pitch: 27.776376852905514, Yaw: -14.199692651675758, Timestamp: 1754490888475
Rotation: -6.260019381708117, Roll: -0.6998513452374736, Pitch: 27.796544792616828, Yaw: -14.198299944433735, Timestamp: 1754490888466
Rotation: -6.259984297913074, Roll: -0.7013326386750398, Pitch: 27.810737259621806, Yaw: -14.196629935810495, Timestamp: 1754490888455
Rotation: -6.259914536543534, Roll: -0.7036638268391474, Pitch: 27.81818318811142, Yaw: -14.196239726970873, Timestamp: 1754490888445
Rotation: -6.259865074388518, Roll: -0.7051555693054024, Pitch: 27.818031135591617, Yaw: -14.196561001127431, Timestamp: 1754490888435
Rotation: -6.25983612939492, Roll: -0.7059099209117036, Pitch: 27.81397032527398, Yaw: -14.195996797655054, Timestamp: 1754490888426
Rotation: -6.259831668854449, Roll: -0.7059316392141752, Pitch: 27.81017921639511, Yaw: -14.19424773222912, Timestamp: 1754490888415
Rotation: -6.259872097289875, Roll: -0.7046520439437747, Pitch: 27.808266636910503, Yaw: -14.19230296242587, Timestamp: 1754490888406
Rotation: -6.260005383032951, Roll: -0.7006973786204964, Pitch: 27.81081616344289, Yaw: -14.18916834289179, Timestamp: 1754490888395
Rotation: -6.260217242381075, Roll: -0.6945267992444866, Pitch: 27.818861133312826, Yaw: -14.184696486632854, Timestamp: 1754490888386
Rotation: -6.2604361511374025, Roll: -0.6881344789236086, Pitch: 27.826759986624516, Yaw: -14.180522127436133, Timestamp: 1754490888375
Rotation: -6.260520524600102, Roll: -0.6855012055387469, Pitch: 27.82399985924666, Yaw: -14.178467605986478, Timestamp: 1754490888365
Rotation: -6.260517616154665, Roll: -0.6849993833384482, Pitch: 27.803649286278603, Yaw: -14.177252810042775, Timestamp: 1754490888355
Rotation: -6.260552797126929, Roll: -0.6827919921175367, Pitch: 27.764100081579414, Yaw: -14.17822858567524, Timestamp: 1754490888345
Rotation: -6.260589707986025, Roll: -0.680095738686136, Pitch: 27.70925447013124, Yaw: -14.182274219189223, Timestamp: 1754490888335
Rotation: -6.26047791466808, Roll: -0.6817186713003929, Pitch: 27.649066449867984, Yaw: -14.186772745388096, Timestamp: 1754490888325
Rotation: -6.260363195522311, Roll: -0.6837178381732079, Pitch: 27.599331236774564, Yaw: -14.191805560504479, Timestamp: 1754490888315
Rotation: -6.260480350752195, Roll: -0.6796321469637651, Pitch: 27.579459414059112, Yaw: -14.199638568076786, Timestamp: 1754490888305
Rotation: -6.260750870988559, Roll: -0.6721359558911573, Pitch: 27.60061738585361, Yaw: -14.210632037933888, Timestamp: 1754490888295
Rotation: -6.261173958514735, Roll: -0.6610214338041638, Pitch: 27.65644629719338, Yaw: -14.219895906645688, Timestamp: 1754490888285
Rotation: -6.261680407862963, Roll: -0.6476677187819104, Pitch: 27.724278735492817, Yaw: -14.224076983322673, Timestamp: 1754490888275
Rotation: -6.2622450802153065, Roll: -0.632205203146474, Pitch: 27.782220228676536, Yaw: -14.221878505073722, Timestamp: 1754490888265
Rotation: -6.262939090596721, Roll: -0.6122463236926396, Pitch: 27.820880179503348, Yaw: -14.216683792896612, Timestamp: 1754490888255
Rotation: -6.263519006447872, Roll: -0.5951782788839376, Pitch: 27.83972115982171, Yaw: -14.210950180123666, Timestamp: 1754490888245
Rotation: -6.263889862859224, Roll: -0.5838938200382217, Pitch: 27.837383598602557, Yaw: -14.205606574453334, Timestamp: 1754490888235
Rotation: -6.263963669802809, Roll: -0.5811466258597101, Pitch: 27.816509122415027, Yaw: -14.199830073867004, Timestamp: 1754490888225
Rotation: -6.263679612594203, Roll: -0.5890747601656986, Pitch: 27.78993863292663, Yaw: -14.194506883136034, Timestamp: 1754490888219
Rotation: -6.262951569928087, Roll: -0.6106492061542457, Pitch: 27.773722784822684, Yaw: -14.186990827647566, Timestamp: 1754490888217
Rotation: -6.2617258972424175, Roll: -0.6477136737118981, Pitch: 27.77596234505417, Yaw: -14.173704868533797, Timestamp: 1754490888195
Rotation: -6.260368552949996, Roll: -0.6894496901156325, Pitch: 27.801726753991566, Yaw: -14.163036625055868, Timestamp: 1754490888185
Rotation: -6.259461358399909, Roll: -0.7184349064682861, Pitch: 27.853179138925764, Yaw: -14.16390148737028, Timestamp: 1754490888175
Rotation: -6.259281792082735, Roll: -0.7259045563837608, Pitch: 27.919490632975684, Yaw: -14.172911976212852, Timestamp: 1754490888165
Rotation: -6.2594533905383205, Roll: -0.7224715138150751, Pitch: 27.978013446024644, Yaw: -14.181685235398842, Timestamp: 1754490888155
Rotation: -6.259759258405445, Roll: -0.7143028812831749, Pitch: 28.016170879287944, Yaw: -14.192197063281538, Timestamp: 1754490888145
Rotation: -6.260086404906886, Roll: -0.7048872378112009, Pitch: 28.035185175917245, Yaw: -14.205529187658023, Timestamp: 1754490888135
Rotation: -6.260275861931866, Roll: -0.6990702412191121, Pitch: 28.03405746278094, Yaw: -14.217548563944842, Timestamp: 1754490888125
Rotation: -6.260422223749324, Roll: -0.6940723104949729, Pitch: 28.01591599617089, Yaw: -14.230595288419366, Timestamp: 1754490888119
Rotation: -6.260540750354757, Roll: -0.6897525241945318, Pitch: 27.991673754930474, Yaw: -14.244337959941465, Timestamp: 1754490888105
Rotation: -6.26070405015974, Roll: -0.6844020254842516, Pitch: 27.978688809027307, Yaw: -14.255397326219049, Timestamp: 1754490888095
Rotation: -6.260709000861791, Roll: -0.6839468226253513, Pitch: 27.96812692435861, Yaw: -14.260694297950195, Timestamp: 1754490888085
Rotation: -6.260598609135676, Roll: -0.6870811155298926, Pitch: 27.9603160353102, Yaw: -14.259819665038455, Timestamp: 1754490888075
Rotation: -6.260394879553662, Roll: -0.6931363490630355, Pitch: 27.955367259917363, Yaw: -14.252555986309847, Timestamp: 1754490888065
Rotation: -6.2601740049127255, Roll: -0.6997949767402201, Pitch: 27.953276869206924, Yaw: -14.239171712547726, Timestamp: 1754490888055
Rotation: -6.26000205060611, Roll: -0.70501478643577, Pitch: 27.952887548244416, Yaw: -14.223499938809448, Timestamp: 1754490888045
Rotation: -6.2599487124585185, Roll: -0.7067442936695219, Pitch: 27.956472193470436, Yaw: -14.207485239617649, Timestamp: 1754490888035
Rotation: -6.2599833901122315, Roll: -0.7059288214552194, Pitch: 27.964528860735076, Yaw: -14.192338135632552, Timestamp: 1754490888025
Rotation: -6.260060766032167, Roll: -0.7038244476684116, Pitch: 27.97298810918237, Yaw: -14.180552761228704, Timestamp: 1754490888015
Rotation: -6.260173496437887, Roll: -0.7005844457333253, Pitch: 27.979508927423346, Yaw: -14.174672782252054, Timestamp: 1754490888005
Rotation: -6.260216105729749, Roll: -0.6993351565015701, Pitch: 27.981152186682415, Yaw: -14.17282789487721, Timestamp: 1754490887995
Rotation: -6.2600938374156225, Roll: -0.7029385757417039, Pitch: 27.97707605648175, Yaw: -14.174269553048973, Timestamp: 1754490887985
Rotation: -6.259854223151463, Roll: -0.7099856012371861, Pitch: 27.968715364902096, Yaw: -14.17669330712028, Timestamp: 1754490887976
Rotation: -6.259536010582406, Roll: -0.719337453422259, Pitch: 27.957643003449085, Yaw: -14.179426030525487, Timestamp: 1754490887965
