Rotation: -0.8735193947446924, Roll: 1.908717330137761, Pitch: 1.5981155176470705, Yaw: -0.10250773696788937, Timestamp: 1754490398577
Rotation: -0.8734864643008842, Roll: 1.9085137675648198, Pitch: 1.598052040972003, Yaw: -0.10348802192877288, Timestamp: 1754490398567
Rotation: -0.8734470458998258, Roll: 1.9079847045693408, Pitch: 1.5977372964555216, Yaw: -0.10438212496622593, Timestamp: 1754490398557
Rotation: -0.8735112041461082, Roll: 1.9081044187166905, Pitch: 1.5976293707331828, Yaw: -0.10495264703642387, Timestamp: 1754490398547
Rotation: -0.8734415472911286, Roll: 1.9080599581224977, Pitch: 1.597818101986959, Yaw: -0.1043823066957062, Timestamp: 1754490398537
Rotation: -0.8735869953010127, Roll: 1.9089224004119603, Pitch: 1.5980677475942113, Yaw: -0.10411747048734239, Timestamp: 1754490398527
Rotation: -0.8739033701659871, Roll: 1.9099955472841303, Pitch: 1.5979383549795823, Yaw: -0.10392311112384399, Timestamp: 1754490398517
Rotation: -0.8740680803735388, Roll: 1.910354230112478, Pitch: 1.5977036308918995, Yaw: -0.10378589765551235, Timestamp: 1754490398507
Rotation: -0.8740911579766819, Roll: 1.9102757119281737, Pitch: 1.5975631194777191, Yaw: -0.10310393001825688, Timestamp: 1754490398497
Rotation: -0.87429790693206, Roll: 1.910356260721296, Pitch: 1.5969598097359952, Yaw: -0.10327533941131183, Timestamp: 1754490398487
Rotation: -0.8742139107698188, Roll: 1.910450693371292, Pitch: 1.5973111477663589, Yaw: -0.1036786274219265, Timestamp: 1754490398476
Rotation: -0.8741912067575361, Roll: 1.9102004984359324, Pitch: 1.5971758817735628, Yaw: -0.10461501609479597, Timestamp: 1754490398467
Rotation: -0.87412708527805, Roll: 1.910131882082216, Pitch: 1.597326494050816, Yaw: -0.10494822776629047, Timestamp: 1754490398457
Rotation: -0.8740939180356517, Roll: 1.909952996788617, Pitch: 1.5972845706282792, Yaw: -0.10526009517888502, Timestamp: 1754490398447
Rotation: -0.8741695717029088, Roll: 1.9098609816111212, Pitch: 1.5969624213485836, Yaw: -0.10554747579511883, Timestamp: 1754490398437
Rotation: -0.8743436376201035, Roll: 1.910415945483691, Pitch: 1.596861394009683, Yaw: -0.10565560147019795, Timestamp: 1754490398426
