Rotation: -0.8980748240629213, Roll: 1.9145114266341026, Pitch: 1.5246349264579127, Yaw: -0.14165681931450835, Timestamp: 1754490654592
Rotation: -0.898150051531986, Roll: 1.9146117397162232, Pitch: 1.524479508766043, Yaw: -0.1412232167368218, Timestamp: 1754490654582
Rotation: -0.8982592689605697, Roll: 1.9151784811603294, Pitch: 1.5245888796278233, Yaw: -0.14065975083828677, Timestamp: 1754490654572
Rotation: -0.8981896344214522, Roll: 1.9150931482992168, Pitch: 1.5247387863342265, Yaw: -0.14092612115726014, Timestamp: 1754490654562
Rotation: -0.8979312065581024, Roll: 1.9144107488815596, Pitch: 1.5250039274597482, Yaw: -0.14115324736419463, Timestamp: 1754490654552
Rotation: -0.897840806984477, Roll: 1.9141572186136846, Pitch: 1.5250848518343199, Yaw: -0.141285926655489, Timestamp: 1754490654542
Rotation: -0.8979275771996562, Roll: 1.9144873162179263, Pitch: 1.525076196532459, Yaw: -0.14091648898603065, Timestamp: 1754490654532
Rotation: -0.898106826802739, Roll: 1.914709492072301, Pitch: 1.52469247109746, Yaw: -0.1408449818741796, Timestamp: 1754490654521
Rotation: -0.8984318506694491, Roll: 1.9150481084908255, Pitch: 1.5239455654020433, Yaw: -0.14124250950463196, Timestamp: 1754490654512
Rotation: -0.8984782326434568, Roll: 1.9149992363144477, Pitch: 1.5237617552072809, Yaw: -0.14127501398046968, Timestamp: 1754490654502
Rotation: -0.8985581622257683, Roll: 1.9147257505968687, Pitch: 1.5232945712804729, Yaw: -0.14148372777876736, Timestamp: 1754490654492
Rotation: -0.8987209889949761, Roll: 1.9150958742076372, Pitch: 1.5230798276166033, Yaw: -0.1413619713699156, Timestamp: 1754490654482
Rotation: -0.8986421235015536, Roll: 1.9150761844761393, Pitch: 1.5233106779396284, Yaw: -0.1410925593932259, Timestamp: 1754490654471
Rotation: -0.8985307362173622, Roll: 1.9151041540530993, Pitch: 1.5236811699439285, Yaw: -0.14113454942453044, Timestamp: 1754490654462
Rotation: -0.898661019082255, Roll: 1.9152594243879264, Pitch: 1.523397395194568, Yaw: -0.1411528881509507, Timestamp: 1754490654452
